Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),AC System Output (W),Ambient Temperature (C),Wind Speed (m/s),Cell Temperature (C)
0,0,0,0,0,11.421,2,11.421
1,0,0,0,0,10.934,2,10.934
2,0,0,0,0,10.534,2,10.534
3,0,0,0,0,10.249,1,10.249
4,0,0,0,0,10.111,1,10.111
5,0,0,0,0,10.876,2,10.876
6,0,0,0,0,12.116,2,12.116
7,251,89,218.566,706.452,15.477,2,19.535
8,519,142,507.156,1588.904,18.724,1,33.544
9,640,176,718.839,2157.537,21.854,1,43.956
10,703,195,850.955,2478.492,23.578,1,50.091
11,729,203,899.706,2582.843,24.559,1,52.831
12,723,201,861.681,2478.81,24.927,1,52.332
13,685,190,744.638,2176.721,24.634,1,48.722
14,606,167,562.221,1679.23,23.606,1,42.161
15,461,128,338.424,1026.407,21.682,2,30.828
16,67,61,99.536,307.724,18.602,2,20.622
17,0,0,0,0,17.308,2,17.308
18,0,0,0,0,16.443,2,16.443
19,0,0,0,0,15.642,2,15.642
20,0,0,0,0,14.965,2,14.965
21,0,0,0,0,14.37,3,14.37
22,0,0,0,0,13.824,3,13.824
23,0,0,0,0,13.33,3,13.33
0,0,0,0,0,12.888,3,12.888
1,0,0,0,0,12.496,3,12.496
2,0,0,0,0,12.021,3,12.021
3,0,0,0,0,11.544,3,11.544
4,0,0,0,0,11.133,3,11.133
5,0,0,0,0,10.773,3,10.773
6,0,0,0,0,11.89,2,11.89
7,181,92,189.11,615.937,15.129,2,18.376
8,498,150,501.879,1575.959,18.606,1,33.137
9,641,173,716.225,2192.777,21.425,2,40.06
10,705,195,852.806,2543.701,22.953,2,45.55
11,720,202,891.05,2628.113,23.867,2,47.747
12,726,202,866.154,2556.91,24.082,2,47.455
13,689,191,749.794,2245.083,23.662,2,44.129
14,611,168,567.435,1729.942,22.567,2,38.166
15,468,129,343.272,1046.429,20.607,2,29.9
16,53,61,96.646,302.477,17.521,2,19.463
17,0,0,0,0,16.087,2,16.087
18,0,0,0,0,15.203,2,15.203
19,0,0,0,0,14.403,2,14.403
20,0,0,0,0,13.699,2,13.699
21,0,0,0,0,13.062,3,13.062
22,0,0,0,0,12.449,3,12.449
23,0,0,0,0,11.877,3,11.877
0,0,0,0,0,11.349,3,11.349
1,0,0,0,0,10.848,3,10.848
2,0,0,0,0,10.36,3,10.36
3,0,0,0,0,9.947,3,9.947
4,0,0,0,0,9.599,3,9.599
5,0,0,0,0,9.279,3,9.279
6,0,0,0,0,10.3,3,10.3
7,247,88,214.905,702.108,13.55,3,17.061
8,524,140,507.249,1629.863,17.233,3,28.29
9,641,173,715.998,2229.905,20.076,3,36.64
10,714,188,853.388,2593.901,21.747,3,41.869
11,721,202,892.473,2683.836,22.727,3,44.007
12,733,195,865.754,2605.328,22.981,3,43.746
13,706,183,755.833,2302.113,22.529,3,40.781
14,623,166,573.725,1774.886,21.371,3,35.247
15,394,158,347.759,1083.252,19.308,3,27.502
16,40,60,91.47,290.151,16.031,3,17.491
17,0,0,0,0,14.542,2,14.542
18,0,0,0,0,13.671,2,13.671
19,0,0,0,0,12.887,3,12.887
20,0,0,0,0,12.197,3,12.197
21,0,0,0,0,11.554,3,11.554
22,0,0,0,0,10.959,3,10.959
23,0,0,0,0,10.436,3,10.436
0,0,0,0,0,9.964,3,9.964
1,0,0,0,0,9.551,3,9.551
2,0,0,0,0,9.179,3,9.179
3,0,0,0,0,8.864,3,8.864
4,0,0,0,0,8.62,3,8.62
5,0,0,0,0,8.376,3,8.376
6,0,0,0,0,9.458,3,9.458
7,245,88,213.669,700.668,12.736,3,16.209
8,523,140,506.167,1631.13,16.635,3,27.668
9,649,171,720.029,2245.392,19.706,3,36.367
10,715,187,853.371,2596.288,21.548,3,41.685
11,742,195,904.506,2717.585,22.614,3,44.166
12,735,195,868.399,2612.735,22.937,3,43.789
13,687,189,748.569,2255.133,22.486,2,42.971
14,612,171,573.518,1758.638,21.343,2,37.121
15,377,160,343.596,1066.886,19.162,2,28.493
16,46,62,96.495,306.163,15.723,2,17.639
17,0,0,0,0,14.355,2,14.355
18,0,0,0,0,13.462,2,13.462
19,0,0,0,0,12.628,2,12.628
20,0,0,0,0,11.819,2,11.819
21,0,0,0,0,11.033,2,11.033
22,0,0,0,0,10.297,3,10.297
23,0,0,0,0,9.64,3,9.64
0,0,0,0,0,9.065,3,9.065
1,0,0,0,0,8.557,3,8.557
2,0,0,0,0,8.139,3,8.139
3,0,0,0,0,7.819,3,7.819
4,0,0,0,0,7.563,3,7.563
5,0,0,0,0,7.376,3,7.376
6,0,0,0,0,8.658,3,8.658
7,198,92,196.257,647.709,12.259,3,15.303
8,497,150,499.975,1606.426,16.123,2,28.368
9,649,171,719.87,2219.661,19.869,2,38.635
10,717,187,855.337,2562.789,21.963,2,44.674
11,746,193,906.579,2676.728,23.238,2,47.532
12,717,202,861.125,2548.713,23.667,2,46.979
13,708,184,760.761,2279.784,23.255,2,43.993
14,627,166,578.495,1766.268,22.046,2,37.97
15,399,160,353.237,1091.249,19.824,2,29.419
16,52,64,101.56,321.196,16.394,2,18.49
17,0,0,0,0,15.208,1,15.208
18,0,0,0,0,14.515,1,14.515
19,0,0,0,0,13.86,1,13.86
20,0,0,0,0,13.19,2,13.19
21,0,0,0,0,12.551,2,12.551
22,0,0,0,0,11.99,2,11.99
23,0,0,0,0,11.494,2,11.494
0,0,0,0,0,11.063,2,11.063
1,0,0,0,0,10.653,2,10.653
2,0,0,0,0,10.297,2,10.297
3,0,0,0,0,9.997,2,9.997
4,0,0,0,0,9.74,2,9.74
5,0,0,0,0,9.53,2,9.53
6,0,0,0,0,10.878,2,10.878
7,242,88,211.693,686.88,14.527,2,18.387
8,523,140,505.379,1608.651,17.787,2,30.203
9,642,173,716.316,2192.554,21.453,2,40.099
10,714,196,862.526,2563.501,23.417,2,46.235
11,740,205,914.573,2680.979,24.446,2,48.899
12,721,201,864.5,2543.849,24.722,2,48.094
13,700,193,764.923,2280.677,24.187,2,45.002
14,620,171,580.731,1765.194,22.976,2,38.948
15,394,161,352.833,1085.547,20.843,2,30.428
16,59,66,106.892,334.977,17.437,1,20.468
17,0,0,0,0,16.056,1,16.056
18,0,0,0,0,15.41,1,15.41
19,0,0,0,0,15.26,0,15.26
20,0,0,0,0,14.944,0,14.944
21,0,0,0,0,14.388,0,14.388
22,0,0,0,0,13.708,1,13.708
23,0,0,0,0,12.867,2,12.867
0,0,0,0,0,12.329,2,12.329
1,0,0,0,0,12.03,3,12.03
2,0,0,0,0,11.729,3,11.729
3,0,0,0,0,11.45,3,11.45
4,0,0,0,0,11.164,3,11.164
5,0,0,0,0,10.861,3,10.861
6,0,0,0,0,12.006,3,12.006
7,241,88,210.951,681.809,15.324,2,19.172
8,512,141,499.007,1582.504,18.731,2,30.968
9,635,175,712.791,2174.569,22.241,2,40.758
10,701,195,850.341,2521.402,24.221,2,46.698
11,729,203,903.192,2640.894,25.292,2,49.398
12,724,201,868.086,2542.577,25.588,2,48.978
13,690,192,757.472,2250.028,25.138,2,45.747
14,615,170,577.746,1748.794,23.966,2,39.818
15,476,132,354.539,1075.659,21.927,2,31.541
16,66,67,110.211,344.09,18.594,2,20.959
17,0,0,0,0,17.054,2,17.054
18,0,0,0,0,16.148,2,16.148
19,0,0,0,0,15.35,2,15.35
20,0,0,0,0,14.705,2,14.705
21,0,0,0,0,14.186,2,14.186
22,0,0,0,0,13.751,1,13.751
23,0,0,0,0,13.32,2,13.32
0,0,0,0,0,12.894,2,12.894
1,0,0,0,0,12.465,2,12.465
2,0,0,0,0,12.058,2,12.058
3,0,0,0,0,11.703,2,11.703
4,0,0,0,0,11.373,2,11.373
5,0,0,0,0,11.118,2,11.118
6,0,0,0,0,12.416,2,12.416
7,216,88,199.197,641.876,15.709,1,19.874
8,508,140,494.978,1550.026,19.174,1,33.533
9,632,175,710.364,2129.674,22.383,1,44.173
10,698,194,846.96,2462.958,24.059,1,50.403
11,725,203,900.268,2580.384,24.891,1,53.142
12,722,202,868.409,2494.992,25.02,1,52.602
13,687,192,756.393,2255.163,24.442,2,45.05
14,612,170,577.052,1753.855,23.209,2,39.056
15,475,132,355.094,1081.517,21.247,2,30.877
16,73,69,114.557,358.23,18.077,2,20.556
17,0,0,0,0,16.473,2,16.473
18,0,0,0,0,15.572,2,15.572
19,0,0,0,0,14.859,2,14.859
20,0,0,0,0,14.358,1,14.358
21,0,0,0,0,14.172,1,14.172
22,0,0,0,0,13.933,1,13.933
23,0,0,0,0,13.58,1,13.58
0,0,0,0,0,13.197,1,13.197
1,0,0,0,0,12.818,1,12.818
2,0,0,0,0,12.515,1,12.515
3,0,0,0,0,12.229,1,12.229
4,0,0,0,0,12.062,1,12.062
5,0,0,0,0,11.998,1,11.998
6,0,0,0,0,13.139,1,13.139
7,194,91,192.319,620.654,15.917,1,19.86
8,478,153,489.645,1533.27,19.492,1,33.654
9,637,176,715.345,2134.25,23.234,1,45.107
10,665,205,829.875,2407.764,25.013,1,50.856
11,732,204,908.389,2587.942,25.917,1,54.257
12,729,203,876.574,2501.146,26.115,1,53.878
13,694,193,764.045,2216.412,25.657,1,50.279
14,620,171,584.251,1734.36,24.484,1,43.713
15,483,133,360.483,1090.873,22.505,2,32.292
16,80,72,121.583,378.482,19.162,2,21.864
17,0,0,0,0,17.601,2,17.601
18,0,0,0,0,16.622,2,16.622
19,0,0,0,0,15.746,2,15.746
20,0,0,0,0,15.064,1,15.064
21,0,0,0,0,14.5,1,14.5
22,0,0,0,0,13.94,1,13.94
23,0,0,0,0,13.381,1,13.381
0,0,0,0,0,12.843,2,12.843
1,0,0,0,0,12.386,2,12.386
2,0,0,0,0,12.022,2,12.022
3,0,0,0,0,11.709,2,11.709
4,0,0,0,0,11.47,2,11.47
5,0,0,0,0,11.389,2,11.389
6,0,0,0,0,12.873,2,12.873
7,194,91,192.098,618.419,16.397,1,20.341
8,511,141,497.461,1550.815,20.049,1,34.435
9,635,176,713.777,2122.909,23.88,1,45.713
10,701,195,851.388,2449.363,26.051,1,52.415
11,729,204,906.427,2564.865,27.228,1,55.511
12,725,203,874.159,2476.296,27.619,1,55.216
13,690,192,761.208,2236.859,27.21,2,47.857
14,615,171,582.314,1744.295,26.073,2,42.006
15,478,133,359.322,1080.366,23.998,2,33.741
16,66,71,117.35,364.597,20.582,2,23.186
17,0,0,0,0,18.946,2,18.946
18,0,0,0,0,18.007,2,18.007
19,0,0,0,0,17.399,1,17.399
20,0,0,0,0,17.06,1,17.06
21,0,0,0,0,16.706,0,16.706
22,0,0,0,0,16.443,0,16.443
23,0,0,0,0,16.096,0,16.096
0,0,0,0,0,15.701,0,15.701
1,0,0,0,0,15.243,0,15.243
2,0,0,0,0,14.916,0,14.916
3,0,0,0,0,14.625,1,14.625
4,0,0,0,0,14.348,1,14.348
5,0,0,0,0,14.124,1,14.124
6,0,0,0,0,15.08,1,15.08
7,105,87,141.047,453.13,18.053,1,20.36
8,495,139,484.641,1476.654,21.455,0,38.991
9,580,191,682.901,1970.394,25.547,0,51.49
10,685,193,835.593,2321.632,27.35,0,58.796
11,714,202,891.467,2515.83,28.251,1,56.016
12,712,201,861.807,2356.421,28.468,0,61.603
13,678,191,752.155,2160.84,28.013,1,52.133
14,605,170,576.158,1692.818,26.924,1,45.786
15,470,132,355.823,1053.939,25.058,1,36.855
16,79,78,132.347,407.42,21.922,1,25.84
17,0,0,0,0,20.432,2,20.432
18,0,0,0,0,19.371,2,19.371
19,0,0,0,0,18.474,2,18.474
20,0,0,0,0,17.706,2,17.706
21,0,0,0,0,17.082,2,17.082
22,0,0,0,0,16.546,1,16.546
23,0,0,0,0,16.204,1,16.204
0,0,0,0,0,16.086,1,16.086
1,0,0,0,0,15.871,1,15.871
2,0,0,0,0,15.677,0,15.677
3,0,0,0,0,15.652,0,15.652
4,0,0,0,0,15.475,0,15.475
5,0,0,0,0,15.29,0,15.29
6,0,0,0,0,16.136,0,16.136
7,214,87,196.208,620.149,18.179,0,23.691
8,432,160,466.841,1419.441,22.305,0,39.599
9,616,173,695.717,2006.262,25.314,0,51.566
10,683,193,834.267,2322.286,26.964,0,58.464
11,711,202,889.532,2433.486,27.911,0,61.61
12,709,201,860.264,2357.664,28.081,0,61.2
13,676,191,751.852,2101.581,27.259,0,57.172
14,604,170,576.675,1657.899,25.751,0,49.941
15,264,172,310.376,924.264,24.336,0,38.955
16,43,69,106.6,329.197,22.561,1,25.446
17,0,0,0,0,21.696,1,21.696
18,0,0,0,0,20.855,2,20.855
19,0,0,0,0,19.945,1,19.945
20,0,0,0,0,19.14,1,19.14
21,0,0,0,0,18.422,1,18.422
22,0,0,0,0,17.78,1,17.78
23,0,0,0,0,17.217,1,17.217
0,0,0,0,0,16.712,1,16.712
1,0,0,0,0,16.224,1,16.224
2,0,0,0,0,16.079,1,16.079
3,0,0,0,0,16.316,1,16.316
4,0,0,0,0,15.981,0,15.981
5,0,0,0,0,15.233,1,15.233
6,0,0,0,0,15.212,1,15.212
7,190,87,185.065,596.614,15.911,1,19.62
8,477,137,470.369,1496.486,16.64,1,30.239
9,458,226,624.563,1946.923,17.179,1,36.622
10,555,239,767.888,2337.317,17.551,1,41.732
11,598,258,844.435,2533.379,17.681,1,44.572
12,576,259,804.249,2418.548,17.988,1,44.049
13,472,296,698.135,2125.555,18.385,1,41.286
14,0,101,96.892,308.743,18.791,1,23.266
15,192,203,319.065,1019.942,18.152,1,26.656
16,36,58,83.253,260.552,16.888,1,18.964
17,0,0,0,0,16.21,1,16.21
18,0,0,0,0,15.776,1,15.776
19,0,0,0,0,15.409,2,15.409
20,0,0,0,0,15.141,2,15.141
21,0,0,0,0,14.498,2,14.498
22,0,0,0,0,13.742,2,13.742
23,0,0,0,0,13.2,1,13.2
0,0,0,0,0,12.75,1,12.75
1,0,0,0,0,12.42,1,12.42
2,0,0,0,0,12.123,1,12.123
3,0,0,0,0,11.731,1,11.731
4,0,0,0,0,11.377,1,11.377
5,0,0,0,0,11.135,1,11.135
6,0,0,0,0,12.337,1,12.337
7,149,90,169.658,552.867,14.638,1,17.818
8,434,161,468.864,1487.104,17.644,1,31.107
9,525,205,654.905,1990.376,21.462,1,41.605
10,660,214,836.949,2444.475,23.74,1,49.616
11,732,205,913.521,2611.007,25.115,1,53.67
12,730,204,884.031,2526.394,25.597,1,53.612
13,697,194,773.82,2246.378,25.278,1,50.217
14,626,173,596.054,1771.111,24.125,1,43.742
15,493,136,372.691,1118.547,22.131,1,34.562
16,124,80,143.459,443.417,18.812,2,22.144
17,0,0,0,0,17.001,2,17.001
18,0,0,0,0,15.68,2,15.68
19,0,0,0,0,14.581,2,14.581
20,0,0,0,0,13.795,2,13.795
21,0,0,0,0,13.372,1,13.372
22,0,0,0,0,13.277,1,13.277
23,0,0,0,0,13.165,1,13.165
0,0,0,0,0,12.915,0,12.915
1,0,0,0,0,12.689,0,12.689
2,0,0,0,0,12.613,0,12.613
3,0,0,0,0,12.626,0,12.626
4,0,0,0,0,12.412,0,12.412
5,0,0,0,0,12.08,0,12.08
6,0,0,0,0,12.935,0,12.935
7,216,88,197.647,634.433,14.922,0,20.424
8,460,157,481.15,1512.865,18.893,1,32.835
9,634,176,713.552,2139.493,22.336,1,44.162
10,698,197,853.258,2473.361,24.516,1,51.018
11,728,204,909.7,2590.133,25.925,1,54.386
12,726,204,881.675,2508.503,26.564,1,54.44
13,694,194,772.78,2230.916,26.438,1,51.276
14,623,173,595.332,1758.056,25.438,1,44.979
15,491,137,373.78,1115.415,23.418,1,35.857
16,93,83,140.612,435.19,20.225,1,24.475
17,0,0,0,0,18.811,1,18.811
18,0,0,0,0,17.631,2,17.631
19,0,0,0,0,16.407,2,16.407
20,0,0,0,0,15.241,2,15.241
21,0,0,0,0,14.253,2,14.253
22,0,0,0,0,13.632,1,13.632
23,0,0,0,0,13.611,1,13.611
0,0,0,0,0,13.481,1,13.481
1,0,0,0,0,13.289,1,13.289
2,0,0,0,0,13.193,1,13.193
3,0,0,0,0,13.149,1,13.149
4,0,0,0,0,13.198,1,13.198
5,0,0,0,0,13.585,1,13.585
6,0,0,0,0,14.497,0,14.497
7,193,87,185.876,599.077,14.569,0,19.567
8,424,160,461.037,1438.586,17.276,0,34.427
9,463,254,658.614,1952.158,21.251,0,46.541
10,90,315,408.04,1240.252,23.312,0,41.733
11,560,306,863.266,2524.05,23.858,1,49.505
12,595,271,836.454,2431.213,23.898,1,50.546
13,405,298,649.837,1943.543,23.425,1,44.84
14,609,172,586.533,1763.913,22.597,1,41.493
15,481,136,369.289,1090.584,21.3,0,38.046
16,72,78,126.606,388.988,19.688,0,26.196
17,0,0,0,0,19.23,0,19.23
18,0,0,0,0,18.761,0,18.761
19,0,0,0,0,18.333,0,18.333
20,0,0,0,0,17.824,0,17.824
21,0,0,0,0,17.138,0,17.138
22,0,0,0,0,16.519,0,16.519
23,0,0,0,0,15.958,0,15.958
0,0,0,0,0,15.487,0,15.487
1,0,0,0,0,15.015,0,15.015
2,0,0,0,0,14.72,0,14.72
3,0,0,0,0,14.549,0,14.549
4,0,0,0,0,14.297,0,14.297
5,0,0,0,0,14.047,0,14.047
6,0,0,0,0,14.935,0,14.935
7,219,88,198.636,633.759,16.055,0,21.63
8,505,141,492.392,1503.342,20.355,0,38.586
9,592,191,693.106,2017.021,23.484,0,49.902
10,698,196,853.368,2390.86,25.117,0,57.3
11,727,205,911.688,2506.903,26.13,0,60.7
12,726,204,884.022,2432.975,26.425,0,60.466
13,694,195,776.411,2174.321,26.055,0,56.895
14,625,174,600.002,1775.211,24.991,1,44.697
15,497,138,379.299,1133.265,23.193,1,35.819
16,126,84,147.834,452.3,20.186,1,24.692
17,0,0,0,0,18.731,2,18.731
18,0,0,0,0,17.498,2,17.498
19,0,0,0,0,16.324,2,16.324
20,0,0,0,0,15.264,2,15.264
21,0,0,0,0,14.386,2,14.386
22,0,0,0,0,13.748,1,13.748
23,0,0,0,0,13.407,1,13.407
0,0,0,0,0,13.347,1,13.347
1,0,0,0,0,13.038,1,13.038
2,0,0,0,0,12.631,1,12.631
3,0,0,0,0,12.256,1,12.256
4,0,0,0,0,11.983,1,11.983
5,0,0,0,0,11.826,1,11.826
6,0,0,0,0,13.256,1,13.256
7,200,92,194.411,622.434,15.927,0,21.304
8,490,153,495.856,1520.218,19.526,0,37.871
9,632,181,717.914,2084.903,23.045,0,50.271
10,717,198,872.965,2438.814,24.908,0,57.802
11,746,207,932.193,2556.14,25.916,0,61.181
12,744,207,904.269,2483.707,26.067,0,60.812
13,711,197,793.164,2293.608,25.458,1,50.993
14,640,176,612.885,1817.353,24.135,1,44.305
15,510,140,388.025,1165.122,21.953,1,34.92
16,135,86,152.414,471.81,18.467,2,22.089
17,0,0,0,0,16.772,2,16.772
18,0,0,0,0,15.742,2,15.742
19,0,0,0,0,14.862,2,14.862
20,0,0,0,0,14.15,2,14.15
21,0,0,0,0,13.589,2,13.589
22,0,0,0,0,13.113,2,13.113
23,0,0,0,0,12.676,2,12.676
0,0,0,0,0,12.272,2,12.272
1,0,0,0,0,11.889,2,11.889
2,0,0,0,0,11.51,2,11.51
3,0,0,0,0,11.164,2,11.164
4,0,0,0,0,10.827,2,10.827
5,0,0,0,0,10.525,2,10.525
6,0,0,0,0,11.97,2,11.97
7,201,92,194.698,630.588,15.432,2,18.837
8,492,153,497.1,1573.112,19.34,2,31.47
9,647,178,727.011,2212.737,22.383,2,41.246
10,710,195,864.241,2557.929,24.213,2,47.071
11,743,207,930.437,2709.142,25.405,2,50.202
12,741,206,901.8,2664.715,25.774,3,47.335
13,709,197,792.927,2372.859,25.385,3,44.478
14,639,176,613.418,1869.365,24.165,3,38.992
15,510,140,388.95,1189.564,22.048,3,31.3
16,145,87,155.392,481.03,18.456,3,21.599
17,0,0,0,0,16.615,3,16.615
18,0,0,0,0,15.609,3,15.609
19,0,0,0,0,14.771,3,14.771
20,0,0,0,0,14.053,3,14.053
21,0,0,0,0,13.404,3,13.404
22,0,0,0,0,12.846,3,12.846
23,0,0,0,0,12.319,3,12.319
0,0,0,0,0,11.863,3,11.863
1,0,0,0,0,11.438,3,11.438
2,0,0,0,0,11.049,3,11.049
3,0,0,0,0,10.728,3,10.728
4,0,0,0,0,10.406,3,10.406
5,0,0,0,0,10.114,3,10.114
6,0,0,0,0,11.535,3,11.535
7,249,89,212.854,688.668,15.068,3,18.544
8,529,142,508.897,1607.446,19.251,2,31.745
9,656,179,735.561,2234.522,22.509,2,41.618
10,696,207,865.154,2555.827,24.547,2,47.438
11,585,269,849.376,2495.466,25.788,2,48.609
12,573,266,815.237,2399.816,26.258,2,48.186
13,690,207,789.258,2329.562,25.954,2,47.164
14,629,178,610.292,1836.475,24.802,2,41.544
15,516,141,393.565,1191.625,22.719,2,33.442
16,63,82,127.194,400.91,19.073,2,22.039
17,0,0,0,0,17.38,2,17.38
18,0,0,0,0,16.482,2,16.482
19,0,0,0,0,15.745,2,15.745
20,0,0,0,0,15.144,2,15.144
21,0,0,0,0,14.681,2,14.681
22,0,0,0,0,14.279,2,14.279
23,0,0,0,0,13.958,1,13.958
0,0,0,0,0,13.654,1,13.654
1,0,0,0,0,13.358,1,13.358
2,0,0,0,0,12.973,1,12.973
3,0,0,0,0,12.615,1,12.615
4,0,0,0,0,12.614,1,12.614
5,0,0,0,0,12.665,1,12.665
6,0,0,0,0,14.081,1,14.081
7,183,93,187.381,598.177,16.953,0,22.048
8,450,162,479.715,1468.682,20.531,0,38.248
9,564,200,681.708,1974.194,24.943,0,50.854
10,705,197,863.327,2389.41,27.252,0,59.505
11,734,206,923.126,2502.911,28.445,0,63.188
12,733,206,897.165,2516.907,28.838,1,57.035
13,702,196,789.019,2250.051,28.4,1,53.63
14,634,176,612.503,1790.227,27.164,1,47.185
15,507,141,390.417,1170.306,24.96,2,35.595
16,166,91,165.094,501.062,21.174,2,25.175
17,0,0,0,0,19.103,2,19.103
18,0,0,0,0,17.643,2,17.643
19,0,0,0,0,16.371,2,16.371
20,0,0,0,0,15.444,2,15.444
21,0,0,0,0,14.747,2,14.747
22,0,0,0,0,14.208,2,14.208
23,0,0,0,0,13.767,2,13.767
0,0,0,0,0,13.427,2,13.427
1,0,0,0,0,13.086,2,13.086
2,0,0,0,0,12.747,2,12.747
3,0,0,0,0,12.447,2,12.447
4,0,0,0,0,12.171,2,12.171
5,0,0,0,0,11.932,2,11.932
6,0,0,0,0,13.474,2,13.474
7,232,90,206.002,658.579,16.81,1,21.211
8,502,154,504.667,1568.072,20.557,1,35.211
9,655,179,735.552,2178.688,24.072,1,46.537
10,724,200,884.183,2531.387,25.991,1,53.327
11,755,209,946.738,2663.129,27.109,1,56.591
12,756,209,922.044,2594.776,27.417,1,56.449
13,726,200,813.523,2328.088,26.91,1,52.977
14,658,179,632.371,1857.427,25.535,1,46.276
15,445,176,400.391,1217.061,23.27,2,34.234
16,149,91,159.85,491.312,19.462,2,23.336
17,0,0,0,0,17.378,2,17.378
18,0,0,0,0,16.1,2,16.1
19,0,0,0,0,15.035,2,15.035
20,0,0,0,0,14.281,2,14.281
21,0,0,0,0,13.872,1,13.872
22,0,0,0,0,13.756,1,13.756
23,0,0,0,0,13.525,0,13.525
0,0,0,0,0,13.422,0,13.422
1,0,0,0,0,13.312,0,13.312
2,0,0,0,0,13.154,0,13.154
3,0,0,0,0,12.98,0,12.98
4,0,0,0,0,12.669,0,12.669
5,0,0,0,0,12.366,0,12.366
6,0,0,0,0,13.565,0,13.565
7,168,93,180.32,579.119,16.089,0,20.856
8,461,161,485.787,1490.259,19.959,0,37.848
9,532,209,666.6,1944.91,23.951,0,49.485
10,676,214,856.807,2390.425,26.004,0,58.086
11,754,209,946.897,2576.058,27.079,0,62.579
12,753,209,920.649,2505.897,27.258,0,62.43
13,723,200,812.485,2328.816,26.647,1,52.698
14,655,179,631.583,1857.752,25.319,1,46.042
15,530,144,405.624,1210.167,23.151,1,36.696
16,298,83,177.746,520.211,19.404,2,23.777
17,0,0,0,0,17.38,2,17.38
18,0,0,0,0,16.214,2,16.214
19,0,0,0,0,15.39,1,15.39
20,0,0,0,0,14.767,1,14.767
21,0,0,0,0,14.135,1,14.135
22,0,0,0,0,13.553,1,13.553
23,0,0,0,0,13.087,1,13.087
0,0,0,0,0,12.512,1,12.512
1,0,0,0,0,11.779,1,11.779
2,0,0,0,0,11.528,1,11.528
3,0,0,0,0,11.44,1,11.44
4,0,0,0,0,11.253,1,11.253
5,0,0,0,0,11.144,1,11.144
6,0,0,0,0,12.637,1,12.637
7,239,90,208.915,666.843,15.498,0,21.488
8,507,154,508.036,1556.404,19.178,0,38.049
9,647,177,727.963,2101.896,23.823,0,51.375
10,710,198,871.142,2418.209,26.189,0,58.979
11,758,200,942.105,2650.021,27.307,1,56.608
12,745,206,911.622,2568.174,27.548,1,56.278
13,735,190,813.208,2327.352,26.964,1,52.981
14,664,174,633.213,1893.302,25.516,2,42.883
15,450,178,405.851,1234.824,23.092,2,34.201
16,117,92,151.619,471.731,18.924,2,22.59
17,0,0,0,0,16.733,2,16.733
18,0,0,0,0,15.455,2,15.455
19,0,0,0,0,14.52,2,14.52
20,0,0,0,0,13.854,2,13.854
21,0,0,0,0,13.375,2,13.375
22,0,0,0,0,12.948,2,12.948
23,0,0,0,0,12.535,2,12.535
0,0,0,0,0,12.128,2,12.128
1,0,0,0,0,11.676,2,11.676
2,0,0,0,0,11.22,2,11.22
3,0,0,0,0,10.817,2,10.817
4,0,0,0,0,10.476,2,10.476
5,0,0,0,0,10.212,2,10.212
6,0,0,0,0,11.889,2,11.889
7,242,91,211.29,681.227,15.561,2,19.421
8,508,154,508.787,1588.136,19.485,1,34.306
9,649,178,731.097,2176.848,23.159,1,45.555
10,719,196,877.885,2525.664,25.244,1,52.438
11,755,210,951.093,2683.904,26.394,1,56.017
12,754,209,924.11,2671.699,26.652,2,51.479
13,723,200,815.165,2393.23,26.072,2,48.216
14,656,180,635.563,1908.527,24.662,2,42.115
15,531,145,408.817,1239.952,22.392,2,33.591
16,179,96,171.99,527.258,18.721,2,22.944
17,0,0,0,0,17.021,2,17.021
18,0,0,0,0,16.289,1,16.289
19,0,0,0,0,15.954,1,15.954
20,0,0,0,0,15.55,1,15.55
21,0,0,0,0,15.235,0,15.235
22,0,0,0,0,14.813,0,14.813
23,0,0,0,0,14.354,1,14.354
0,0,0,0,0,13.921,1,13.921
1,0,0,0,0,13.469,1,13.469
2,0,0,0,0,13.012,1,13.012
3,0,0,0,0,12.697,1,12.697
4,0,0,0,0,12.407,1,12.407
5,0,0,0,0,12.196,1,12.196
6,0,0,0,0,13.658,1,13.658
7,188,95,191.264,613.765,17.111,1,21.039
8,507,156,510.447,1583.613,20.808,1,35.564
9,659,181,742.763,2187.017,25.048,1,47.695
10,726,201,890.316,2530.859,27.196,1,54.653
11,756,210,953.146,2662.605,28.262,1,57.859
12,756,210,928.24,2595.915,28.453,1,57.603
13,727,201,820.725,2335.03,27.877,1,54.106
14,660,181,640.355,1870.75,26.499,1,47.45
15,513,156,412.543,1227.183,24.164,1,37.931
16,186,97,174.136,529.072,20.204,2,24.511
17,0,0,0,0,18.341,2,18.341
18,0,0,0,0,17.439,2,17.439
19,0,0,0,0,16.913,1,16.913
20,0,0,0,0,16.508,1,16.508
21,0,0,0,0,16.19,0,16.19
22,0,0,0,0,15.985,0,15.985
23,0,0,0,0,15.586,0,15.586
0,0,0,0,0,15.075,0,15.075
1,0,0,0,0,14.439,0,14.439
2,0,0,0,0,14.021,1,14.021
3,0,0,0,0,13.66,1,13.66
4,0,0,0,0,13.339,1,13.339
5,0,0,0,0,13.085,1,13.085
6,0,0,0,0,14.555,1,14.555
7,268,91,229.444,728.314,17.823,1,22.996
